,label,url,title,date,author,categories,content,last_scraped
0,['DENUNCIA'],https://elpitazo.net/los-llanos/el-gas-domestico-en-acarigua-araure-cuesta-entre-10-y-20-dolares/,El gas doméstico en Acarigua-Araure cuesta entre 10 y 20 dólares,"2 mayo, 2019 2:57 pm",Mariangel Moro Colmenárez,"etiquetas, Acarigua Araure, Dólares, Gas doméstico, Portuguesa","- Acarigua.- Ante la escasez de gas doméstico, el pago para llenar los cilindros en Acarigua-Araure, estado Portuguesa, ya no se hace en bolívares, sino en moneda internacional. Hasta 10 dólares cobran los mismos repartidores por una bombona de 42 kilogramos. Los costos varían según sea el caso. La reventa, según denunciaron los habitantes de las ciudades gemelas, comienza por los mismos trabajadores de Pdvsa Gas Comunal, quienes venden las bombonas llenas en unos 10.000 bolívares la de 10 kg, 15.000 la de 18 kg y 60.000 la de 42 kg.  «Todo esto debe ser en dinero en efectivo y solo reciben los billetes de 200 para arriba. Y si no se tienes efectivo, quitan cuatro productos que no sean del Clap, por las más pequeña», dijo a El Pitazo, María Colmenárez habitante de la zona sur de Acarigua.  LEE TAMBIÉN:   VECINOS DE PAPELÓN EN PORTUGUESA NO RECIBEN GAS DOMÉSTICO DESDE NOVIEMBRE También, ante la falta de bolívares en efectivo, quienes ilegalmente comercializan el gas doméstico han comenzando a cobrar en dólares. Los montos son $5 por el cilindro de 10 kg, $10 el de 18 kg y $20 el de 42 kg. Lo necesario del producto, obliga a las personas a permanecer todo un día a las afueras de las plantas de llenado de Gas Comunal de Acarigua-Araure y de Guanare, con la esperanza de conseguirlo a mejor precio.  Por su parte, los trabajadores de Vengas, otra compañía distribuida de gas, no aceptan trueque de alimentos repetidos.  ",
1,['DENUNCIA'],https://elpitazo.net/occidente/trabajadores-de-ambulatorio-en-ciudad-ojeda-duermen-en-colchonetas-por-cortes-de-luz/,Trabajadores de ambulatorio en Ciudad Ojeda duermen en colchonetas por cortes de luz,"4 mayo, 2019 10:04 pm",Mayreth Casanova,,"- Ciudad Ojeda.- En un ambulatorio de Ciudad Ojeda, en el Zulia, adscrito al Instituto Venezolano de los Seguros Sociales (Ivss), no hay planta eléctrica y durante el racionamiento nocturno sus trabajadores sacan colchones y duermen en el frente mientras se restablece el servicio. A los pocos pacientes que llegan, los atienden con una linterna. El cronograma que mantiene Corpoelec en el Zulia no tiene horario y tampoco se cumple, según han reportado sus habitantes desde hace varias semanas. Aunque hay zonas donde no se va el servicio eléctrico por pertenecer a circuitos medulares, entre ellos hospitales y ambulatorios, en las instalaciones del seguro quedan a oscuras. Una de las enfermeras, bajo la condición de anonimato, aseguró que aunque no hay servicio eléctrico en las instalaciones para prestar atención primaria en alguna emergencia, deben cumplir su jornada completa. “El persona que está de guardia debe exponer su vida para cumplir con  trabajo. No hay luz ni agua, tampoco seguridad. No tenemos garantías que no seremos víctimas del hampa”, dijo. Hay varios trabajadores en la misma situación, quienes dejaron de llevar sus teléfonos y solo van con su uniforme y artículos esenciales de higiene, comida y agua, por miedo a un robo. Tampoco hay plan de resguardo nocturno por parte de los cuerpos de seguridad. Prefieren sacar las colchonetas que dormir dentro por la falta de ventilación de las áreas médicas, donde proliferan bacterias y virus por las bajas temperaturas y es necesario airear espacios. Frente a un aviso que dice Rayos X, ponen las colchonetas y ahí esperan a que amanezca. Poco pueden hacer sin servicio eléctrico; por ello la mayoría de las emergencias graves las remiten hasta el Hospital Pedro García Clara, también adscrito al Ivss. LEE TAMBIÉN:  FALTA DE PERSONAL OBLIGA AL HOSPITAL DE ACARIGUA-ARAURE A NO RECIBIR PACIENTES ",
2,['PROTESTA'],https://elpitazo.net/oriente/por-falta-de-gas-trancaron-este-4may-la-avenida-gran-mariscal-de-cumana/,Por falta de gas trancaron este #4May la avenida Gran Mariscal de Cumaná,"4 mayo, 2019 11:03 am",Jesús González,"etiquetas, Cumaná, Escasez de gas, Protesta","- Cumaná.- Este sábado 4 de mayo, en horas de la mañana, se registró una protesta por falta de gas doméstico en la avenida Gran Mariscal de Cumaná. Los vecinos de la comunidad Las Pepitonas, las calles Bolívar y Campo Alegre, cerraron esta importante vía a la altura de la estación de servicio La Ventaja. Los manifestantes atravesaron los mismos cilindros de gas en la carretera, para impedir el tráfico de vehículos por la zona.»Todas la semanas debemos cerrar esta vía para que nos vendan el gas, estamos cansados de llamar a las oficinas de Gas Comunal y siempre dicen que van a mandar los camiones y nunca vienen», Alfredo Patiño. Pedro Gómez, otro de los afectados, aseguró que antes compraban el gas en las bodegas y ahora deben pasar horas y horas, esperanso en el medio del sol a los camines encargados de hacer la distribución. Aproximadamente, a las 9:30 a.m., llegaron los efectivos de la policía Estatal y les informaron a los presente que no iba a venderle el gas porque no estaban trabajando en la planta de Los Molinos. Uno de los presentes en la protesta, relató que los uniformados explicaron a las mujeres y hombres que se encontraban en el lugar, «que ellos nos estaban buscando confrontación con el pueblo, pero que si no abrian la la vía, se iban a ver en la necesidad de enfrentarse al pueblo por órdenes del gobernador», describió el denunciante. Para evitar represiones y agresiones de los cuerpos de seguridad, los presente agarraron sus bombonas y se regresaron a sus viviendas con los cilindros vacíos. «Como vamos a cocinar, nos tocará hacer un fogón para preparar los alimentos» , exclamó uno de los Caiguireños cuando regresaba a sus hogar. ",
3,['DENUNCIA'],https://elpitazo.net/gran-caracas/hidrocapital-solo-puede-surtir-de-agua-a-35-de-la-poblacion-caraquena/,“Hidrocapital solo puede surtir de agua a 35% de la población caraqueña”,"7 mayo, 2019 1:59 pm",Redacción El Pitazo,"etiquetas, Hidrocapital, Racionamiento eléctrico, Sin agua, Sin agua potable","- Por Rosibel González Caracas. La ONG Monitor Ciudad presentó este martes 7 de mayo los resultados de las 2.040 encuestas realizadas en 573 sectores del área metropolitana de Caracas, a fin de detectar las fallas en el suministro de agua potable, proyecto que inició en enero pasado. El estudio arrojó como resultado que Hidrocapital “solo puede entregar agua al 35% de sectores de la ciudad, mientras que la inversión promedio de los caraqueños para consumir agua de calidad es de 12.000 bolívares semanales, cantidad antes del decreto tácito del salario mínimo”, refirió Jesús Vásquez, ingeniero civil y encargado del monitoreo. LEE TAMBIÉN:  GOBIERNO EXTIENDE HORARIO LABORAL REDUCIDO POR TIEMPO INDETERMINADO Sostuvo que existen comunidades con esquemas de racionamiento, que reciben agua potable cada cuatro o cinco días, otras pasan meses. “El monitoreo en sectores de los cinco municipios de Caracas determinó que las personas consiguen agua a través del acarreo, lo que representa el 35% de la población; por camiones cisternas 5%; de pozos 3%; otras fuentes 25% y de lluvia, el 3% de la población”, acotó Vásquez. Comunidades organizadas se unieron a la iniciativa de presentar el esquema de racionamiento por parte de Hidrocapital, otras reseñaron que el servicio es inexistente, desde hace un par de meses. Monitor Ciudad, en su estudio, precisó las siguientes zonas: en el municipio Baruta, La Trinidad; municipio El Hatillo, Altos del Hatillo, La Prolongación, Altos de Villa Nueva, Bosques de La Lagunita, Brisas de Loma Linda, La Tiama, Los Cortijos de Loma Linda, Los Naranjos Sur y Este. En municipio Libertador figuran El Mirador y El Observatorio en la parroquia 23 de enero, El Junquito, El Pinar, Vista Alegre, La Florida, Altos de Lídice, Las Torres, Puerta de Caracas, Diego de Lozada, El Polvorín, Los Mecedores, La Hoyada , Los Canjilones, La Vega: San Miguel, La Ladera, Isabel 27, avenida Baralt, Santa Rosalía, Las Acacias, Carretera Vieja Caracas – La Guaira, Barrio El Nazareno y Raúl Leoni, Los Magallanes de Catia, Nuevo Horizonte. En el municipio Sucre están El Marqués, Palo Verde y Terrazas del Ávila. Jesús Armas, también del equipo de la ONG Monitor Ciudad, indicó que “el proyecto tiene como objetivo, presentar soluciones durante el gobierno de transición» «El estudio también arrojó que existe falta en el mantenimiento de las represas, así como la falta de inversión. Hace 20 años se invirtieron 800 millones de dólares para el proyecto del Tuy 4, que solo quedó en papel”, agregó. Aura Fernández reside en la parte alta de La Vega. Dijo que en los edificios 14, 15 y 16, donde residen 78 y hasta 100 familias por edificio, el agua no se ve desde hace 19 días.  Mientras que en los sectores San Rafael, Los Unidos, sector B, Las cuatro esquinas y La Isla, los residentes no cuentan con el servicio de agua potable , desde hace más de un año. Fernández agregó que hace dos meses los habitantes de La Vega tomaron la Panamericana, como protesta y, como resultado, “fuimos castigados y los acuerdos con la gente de Hidrocapital quedaron archivados”. Wilmer Benítez vive en el barrio El Limón de la carretera vieja Caracas-La Guaira. “En ocasiones dejan correr el agua, en horas de la madrugada. Es un castigo para las personas de la comunidad, por formar parte del proyecto Monitor Ciudad, porque nos catalogan como opositores y solo estamos trabajando para un beneficio en común», afirmó.  ",
4,['PROTESTA'],https://elpitazo.net/occidente/vecinos-de-el-cruce-protestaron-luego-de-tres-dias-sin-electricidad/,Vecinos de El Cruce protestaron luego de tres días sin electricidad,"16 mayo, 2019 4:38 pm",Edwin Urdaneta,,"- Sur del Lago.- Vecinos de El Cruce, en la parroquia Barí del municipio Jesús María Semprúm, protestaron durante la tarde del miércoles 15 de mayo, tras cumplir tres días sin suministro eléctrico.  Los manifestantes, quienes pidieron preservar su identidad por temor a represalias, por vivir en una zona de conflicto, trancaron la carretera nacional Troncal 006, Machiques-Colón y solicitaron a la alcaldesa Keytineth Fernández, interceder ante los funcionarios de Corpoelec para restablecer el fluido eléctrico.  «Este calor es insoportable para los niños, no pueden dormir de noche con tanta calor y zancudos. Nadie puede trabajar, no hay puntos de venta, se va el agua y esto es caótico», dijo una ama de casa. LEE TAMBIÉN:  ZULIANOS TIENEN DOS MESES CON MENOS DE DOCE HORAS DE ELECTRICIDAD AL DÍA En medio de la manifestación interceptaron una unidad militar donde se desplazaba el general de brigada Aquiles Leopoldo Lapadula Sira, comisionado por la Fanb para establecer algunos controles y planes de seguridad en el territorio fronterizo con Colombia. Al jefe militar le exigieron que interceda ante el gobierno, por el drama que padecen a diario en el circuito Catatumbo, que abarca la parroquia Barí.  «Allá en Casigua El Cubo les llega de vez en cuando pero a nosotros que también somos pueblo no nos llega. Ya basta de tanto atropello», dijeron.  Algunos funcionarios municipales y los presentes se agredieron a golpes entre sí. También se lanzaron piedras, aunque no fueron reprimidos por la GN. La colectividad protestaba por el mal servicio y los trabajadores públicos lo impedían, lo cual caldeó los ánimos. ",
5,['DENUNCIA'],https://elpitazo.net/los-andes/200-mil-litros-de-leche-se-pierden-diariamente-en-tachira-por-falta-de-luz-y-gasolina/,Táchira pierde diariamente 200.000 litros de leche por falta de luz y gasolina,"17 mayo, 2019 1:50 pm",Mariana Duque,,"- San Cristóbal.- La Asociación de Ganaderos del estado Táchira (Asogata) se declaró este viernes, 17 de mayo, en emergencia debido a la falta de combustible, lo que les impide trasladarse a sus unidades de producción y que dejan al menos 200.000 litros de leche perdidos diariamente. El presidente de Asogata, Leonardo Figueroa, indicó que los cortes eléctricos de más de ocho horas más la falta de gasolina tienen al suroeste andino paralizado, es decir, a los estados Táchira, Barinas, Apure, Mérida y Zulia. «No hay combustible para que los productores puedan llegar a trabajar a sus unidades de producción. No hay combustible para el transporte de la leche y la carne, que debe salir de nuestras unidades a los mercados de consumo, a las industrias, a las queseras, y no hay combustible para despachar la producción final a los mercados del centro», indicó Figueroa.  Al continuar dando el parte de la catástrofe que envuelve al sector de la ganadería en Táchira, el gremialista afirmó: «Estamos alertando a la población por la terrible crisis que se puede presentar en los próximos días, tomando en cuenta que no llega combustible al suroeste andino, donde se produce más del 50 % de la carne y la leche que se consume en el país». LEE TAMBIÉN:  TRANSPORTISTAS PAGAN HASTA TRES MIL BOLÍVARES POR LITRO DE GASOLINA EN EL SUR DEL LAGO Afirmó que de seguir esta situación la próxima semana, se sentirá la escasez de los productos en las ciudades y en los mercados de consumo, donde está la mayor población. Acotó que el combustible no alcanza para tantas unidades de producción y menos para las que están a larga distancia de las queseras y del sector industrial que procesa la leche. «Esto nos trae graves problemas porque se pierde parte de esta leche y muchos productores sueltan las vacas, destetan a los becerros, y la producción cada vez va en picada», detalló. Añadió que algunos productores tienen capacidad de cuajar y hacer queso duro, que resiste sin refrigeración, pero otras unidades no tienen esa capacidad ni pueden donar la producción porque no hay transporte para llevarla a los centros poblados. Figueroa precisó que en Táchira son 8.000 unidades de producción afectadas, sin tomar en cuenta el Sur del Lago de Maracaibo; los municipios Ezequiel Zamora y Andrés Eloy Blanco, del estado Barinas; y el municipio Páez, del estado Apure, grandes productores de carne y leche. En total serían entre 25.000 y 30.000 productores afectados. Acotó el presidente de Asogata que tenían apoyo para abastecer de gasolina en algunas estaciones, pero ya no les permiten y esto complicó la situación. «Hay sectores donde pasan hasta cinco y seis días sin que llegue una gandola. Los sectores con más dificultad para conseguir gasolina son: los municipios Libertador, Fernández Feo, de la zona sur; los municipios García de Hevia, Panamericano y Samuel Darío Maldonado, de la zona norte; y la zona de montaña, donde se producen verduras que abastecen al 60 % del país», dijo. Leonardo Figueroa indicó que tampoco les sirve comprar gasolina para movilizarse porque se descapitalizan, ya que les piden entre 30.000 y 40.000 pesos por una pimpina de 20 litros. «Algo insólito en un país petrolero. La gasolina más cara del mundo», afirmó. ",
6,['PROTESTA'],https://elpitazo.net/oriente/protesta-margarita-gas-agua-luz/,"Protestan en Margarita por falta de gas doméstico, agua y luz","17 mayo, 2019 6:40 pm",Lisbeth Miquilena,"etiquetas, Crisis eléctrica, Escasez de agua, Escasez de gas","- Margarita. Por segundo día consecutivo, habitantes de los sectores de Conejeros, El Piache y Achipano, tomaron las calles para protestar por la falta de gas doméstico. Con sus bombonas y palos cerraron en ambos sentidos la avenida Juan Bautista Arismendi en señal de molestia por la escasez de este servicio. Carmen González, habitante de Conejeros, expresó que está cansada de la mala calidad de vida que lleva junto a sus familiares, en vista de que cada día son menos los servicios públicos funcionando. «Entre la luz, el agua y ahora la falta de gas nos llevan al desespero. Así no se puede vivir. Ya ni podemos cocinar la poca comida que compramos, porque ahora tampoco tenemos gas. Osea, este gobierno pretende llevarnos a la época de cocinar en leña, pues no es justo que como venezolanos estemos padeciendo tantos problemas», expresó sentada en una bombona, en medio de la avenida. LEE TAMBIÉN:  COMITIVA OFICIALISTA REGRESA DE NORUEGA EN AVIÓN  TURCO DE LUJO Carmen no es la única que está sufriendo la crisis de los servicios públicos en la isla de Margarita. Junto a ella, otras madres y padres corrían con sus bombonas de gas para evitar la circulación de vehículos, en la vía que comunica a los municipios Tubores, Diaz, García, Mariño y Maneiro. Exigían respuesta. Jesús Heras relató que salió de su vivienda en la madrugada para trasladarse hasta el llenadero de Pdvsa Gas en San Antonio a comprar dos bombonas, y la cola era interminable por la cantidad de personas a la espera. «Lo más trágico es que pasas aquí más de 5 horas en cola y solo están vendiendo una bombona por persona. Ya estamos cansados de vivir entre la miseria a la que este Gobierno nos has llevado«. Otro de los servicios públicos que han generado manifestaciones en diferentes sectores de la isla es la falta de agua y de luz. Tal es el caso de quienes residen en el sector Catalano del municipio Arismendi, capital de Nueva Esparta, aseguran tener un mes sin recibir agua por la tubería. La luz también está fallando en la entidad insular. Residentes de los sectores de Porlamar, Diaz, Gómez, Marcano y Arismendi reportaron estar desde horas de la mañana sin servicio eléctrico. Ramón Romero, habitante del municipio Diaz, expresó que ya son dos días que se les va la luz y no pueden realizar los quehaceres de la casa. «Aquí estamos todos los vecinos sentados a las afueras de nuestras casas a la espera de que llegue la luz«.  ",
7,['DENUNCIA'],https://elpitazo.net/cronicas/la-fallas-electricas-han-disminuido-la-cantidad-de-carne-que-consume-el-venezolano/,Las fallas eléctricas han disminuido la cantidad de carne que consume el venezolano,"18 mayo, 2019 6:00 pm",Redacción El Pitazo,,"- . Ganaderos de la zona del Sur del Lago de Maracaibo, área estratégica potencial para el desarrollo agropecuario de la nación, reportaron una disminución en el sacrificio de bovinos debido a los incesantes racionamientos eléctricos. Así lo informó Daniel Ariza, presidente de la Asociación de Ganaderos y Agricultores del municipio Colón (Aganaco), quien aseguró que la medida se tomó en los frigoríficos: Frigorifico Industrial Sur del Lago (Frisulca), Frigorífico Catatutmo (Fricasa) y Frigorífico Industrial Santa Bárbara (Fibasa), para evitar acumulación de reses en canal. “Solo se ejecuta matanza en algunas unidades de producción y los índices descienden con el paso de los días”. La producción de leche también va en retroceso y descendió desde marzo Precisó que aun cuando algunos frigoríficos cuentan con plantas eléctricas, estos carecen de combustible, transporte y logística para mantenerlas encendidas todos los días, tal como lo ameritan los cárnicos en cadena de frío. Solo hasta el 8 de abril, Corpoelec diseñó un plan que ha divulgado a través de las redes sociales sin vocería del Gobierno y donde incluye a los 12 circuitos de la subregión en bloques de hasta seis horas diarias de racionamiento. “Muchos de los ganaderos dejan de matar animales a raíz de esta situación tan difícil; fue una manera de controlar la pérdida de carne de res, de cerdo y otros animales que acá se producen, manteniéndolos vivos y destinarlos al sacrificio solo cuando Corpoelec asome una posible estabilidad en los circuitos”. También en las carnicerías optaron por bajar la compra de cárnicos. Los alimentos en estos expendios tienden a perderse con más facilidad, porque esta cadena de comercialización no ha invertido en un plan alternativo para mantener la vida útil de las cavas o cuartos fríos. Para el primer apagón, los carniceros se valieron de amigos y productores que resguardaron parte de la carne. Otra la vendieron a bajo costo y una minoría regaló la disponibilidad en las exhibidoras. Mientras esto ocurre, la carne de res en las expendedoras locales disminuyó y con ello el consumo de proteína animal en los hogares venezolanos. Pero no solo se trata de la carne: la medida incluye los huesos, vísceras o las piezas duras como piel y cuernos del animal. Algunos frigoríficos cuentan con plantas eléctricas, pero carecen de combustible, transporte y logística para mantenerlas encendidas todos los días La producción de leche también va en retroceso y descendió desde marzo. Armando Chacín, presidente de la Federación Nacional de Ganaderos de Venezuela (Fedenaga), indicó a El Pitazo que durante los primeros cinco días del primer apagón, registrado por un incidente en Guri el 7 de marzo reciente, la pérdida de producción diaria nacional de leche cruda se ubicó en un millón 150.000 litros por día. Sin embargo, luego de tomarse “medidas urgentes”, el gremio logró reducir la cifra. Un litro de leche a puerta de planta es cancelado en mil bolívares. Según la federación, la tercera parte de la producción de leche es destinada a derivados como chicha, choco y demás subproductos que no ameritan pasteurización. Manifestó que quesos y demás preparaciones dependen del lácteo que de igual manera ameritan los neonatos en fase de crecimiento. Dijo que los 120.000 productores que arriman el lácteo a las distintas manufactureras, procesadoras, pasteurizadoras y queseras debieron paralizar una parte del ordeño en sus unidades de producción. “Se originó una situación imprevista. Buena parte del rebaño nacional dejó de ser ordeñado y las vacas fueron destinadas a amamantar becerros. Nuestra preocupación es que estos animales se van a secar porque les están dando la leche a sus crías y esto amerita que el ordeño se vuelva a realizar hasta un nuevo parto, en un lapso de nueve meses”, estimó Chacín. Las carnicerías optaron por bajar la compra de cárnicos Esta organización resumió las consecuencias de estar tantas horas sin luz en el sector agropecuario de la región en la pérdida de 100.000 litros de leche. Aseguran que el sector ha sido uno de los más golpeados por la falta de electricidad. No se habían recuperado de las consecuencias del primer apagón cuando el segundo interrumpió la cadena de producción. Sin fluido eléctrico es imposible enfriar y mantener en buen estado la leche; las pocas empresas que poseen plantas no operan sin combustible, elemento muy escaso en el municipio Machiques, en donde se dificulta cada día el suministro de gasolina y gasoil. Como consecuencia de esta escasez, también se dificulta el transporte de leche, y por ende la elaboración del queso y su comercialización. ",
8,['PROTESTA'],https://elpitazo.net/occidente/habitantes-de-cardonal-sur-en-maracaibo-llevan-20-dias-sin-recibir-agua-potable/,Habitantes de Cardonal Sur en Maracaibo llevan 20 días sin recibir agua potable,"19 mayo, 2019 6:53 pm",Loly Añez,"etiquetas, Agua, Sin agua, Zulia","- Por tener más de 20 días sin recibir agua potable por las tuberías, gran cantidad de habitantes del barrio Cardonal Sur de Maracaibo, de la parroquia Luis Hurtado Higuera, en el Zulia, cerraron este domingo 19 de mayo un tramo de la Circunvalación 2 como medida de protesta. La señora Yaneth Contreras refirió que unas 400 familias se ven afectadas por una situación que han denunciado en reiteradas oportunidades, pero hasta los momentos no han recibido ninguna atención. “A esta hora del mediodía ni siquiera el almuerzo hemos podido preparar por la falta de agua. Esto es desesperante”, reclamó. Pasada la 1:00 pm, bajo un inclemente sol y una temperatura cercana a los 36 grados, un grupo de personas decidió cerrar esta importante arteria vial de dos tramos para impedir el tránsito vehicular. Dijeron que con la protesta esperaban que llegara algún camión cisterna, tal como había ocurrido en la última manifestación.  A la grave crisis que padece Maracaibo, que se traduce en cortes del servicio eléctrico por 6, 12 y hasta 24 horas, se suma la falta de agua. La zona norte ha reportado suministro cada 10 días, mientras que otras pasan semanas sin recibir el servicio. En los sectores Amparo y Las Pirámides, por ejemplo, hace más de un año que no les llega. El barrio Cardonal Sur se encuentra ubicado a unos 500 metros de otra comunidad cuya falta de agua es emblemática. Se trata de las residencias El Trébol, un conjunto de edificios cuyos habitantes deben migrar diariamente a barrios aledaños para buscar agua. Los manifestantes hicieron responsables de su situación al alcalde de Maracaibo, Willy Casanova, y al gobernador del Zulia, Omar Prieto. Y para cerciorarse de que así fuese, se lo solicitaron a la periodista: “Por favor, no vaya a quitar lo del alcalde y lo del gobernador”. ",
9,['FALTA DE SERVICIO'],https://elpitazo.net/regiones/falla-en-subestacion-el-tigre-provoco-apagon-en-sur-de-anzoategui/,Falla en subestación El Tigre provocó apagón en sur de Anzoátegui,"22 mayo, 2019 10:50 am",Marinelid Marcano,"etiquetas, apagones, Apagones en Venezuela","- El Tigre.- Una falla en la línea 115 de la subestacion Tigre I, ubicada en la vía al estado Bolívar, causó a las 6:36 am de este miércoles 22 de mayo un apagón general en la zona sur de Anzoátegui. Las zonas afectadas abarcan los municipios Simón Rodriguez, Guanipa, Independencia, Miranda y Monagas. LEE TAMBIÉN:  SECTOR PORTUGAL ABAJO DE BARCELONA TIENE MAS DE 72 HORAS SIN LUZ  Según informes recibidos por El Pitazo, Corpoelec, para evitar una afectación mayor, sacó del circuito dos transformadores que estarían en riesgo. Debido a esta situación, en el Oriente del país se presentaron bajones de luz. El servicio comenzó a ser restituido dos horas después de forma paulatina. Aún a las 10:26 am de este miércoles 22 de mayo hay sectores sin energía eléctrica en El Tigre.  ",
