,text,circumstantial-information,electricity,gasoline,social-report,twitter-account,water,gas,pred_circumstantial-information,pred_electricity,pred_gasoline,pred_social-report,pred_twitter-account,pred_water,pred_gas,assert_circumstantial-information,assert_electricity,assert_gasoline,assert_social-report,assert_twitter-account,assert_water,assert_gas,model_name,model_class_name
0,"bajon  fuerte  en  caracas  #sinluz    supongo  que  hay  zonas  que  se  quedaron  sin  servicio  
",0,1,0,1,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
1,"@willy_casanova  @nicolasmaduro  que  paso  con  hidrolago  no  bombea  agua  en  cuatricentenario  desde  hace  12  dias  los  cortes  #sinluz    estan  a  la  orden  del  dia  necesitamos  agua  por  favor
",1,1,0,1,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1,1,0,0,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
2,"me  imagino  a  lopetegui  investigando  por  que  estamos  #sinluz  igual  que  caputo  en  el  medio  de  la  corrida  cambiaria          
",0,1,0,1,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
3,"maracaibo  presenta  nuevo  apagon  que  afecta  a  decenas  de  familias  y  enfermos  en  los  ya  deterioradas  hospitales  la  culpa  no  es  de  la  vaca      es  del  chavismo  revolucion  destructora  #crisis  #zulia  #mcbo  #sinluz  #venezuela    
",1,1,0,1,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
4,"#ahora  las  5  zonas  mas  afectadas  sin  suministro  electrico  por  empresa    #sinluz  #secorto  #elpalomar  #eljaguel    
",0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
5,"alguien  vio  la  pelicula  ""en  lo  profundo  del  bosque""    esta  pasando    #apocalipsis  #sinluz
",0,1,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1,1,1,0,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
6,"#sinluz  sectores  del  edo  #carabobo  se  encuentran  sin  energia  electrica
",1,1,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
7,"#ahora  estaciones  esperando  por  la  cisterna  en  pto  ordaz    morochas  av    atlantico    la  de  los  olivos  villa  africana    las  americas  subiendo  a  alta  vista  y  la  que  esta  frente  a  c  alta  vista  2    #singasolina  #guayana  10  28  am
",1,0,1,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
8,"@globalsonreir  calle  este  ii  de  la  morita  #sinluz  8  00am
",1,1,0,0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,1,0,0,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
9,"a  dia  de  hoy  el  ministerio  de  seguridad  social  todavia  no  se  ha  puesto  en  contacto  con  las  mutuas  para  explicarles  como  han  de  tramitar  las  ayudas  a  los  autonomos    #apagon  #autonomos  #oingresos
",0,0,0,1,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
10,"y  continuamos  ""disfrutando""  de  los  regalos  navidegnos  de  @corpoelecinfo  y  @corpoeleclara  mas  raciones  de  navidades  #sinluz  hoy  #25dic  de  verdad  que  la  supieron  hacer    felicitaciones!  nunca  nos  defraudan      
",1,1,0,1,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,1,1,0,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
11,"usuarios  informan  que  estan  sin  electricidad    desde  la  1  pm  de  este  #19nov  zonas  de  los  estados    falcon    guarico    aragua    trujillo    zulia    miranda  y  yaracuyayudenos  a  informar  indicando  lugar    sitio  y  la  hora  #sinluz  
",1,1,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
12,"temperaturas  extremas  en  el  estado  zulia  y  el  gobernador  @omarprietogob  sigue  sin  anunciar  hasta  cuando  seran  los  cortes  inhumanos    el  pueblo  zuliano  sufre    sea  responsable  gobernador  no  ignore  al  pueblo  @nicolasmaduro  #venezuela  #sinluz  #delitohumano
",1,1,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
13,"y  ahora  y  para  variar  desde  las  2pm  #sinluz  #tachira  #sancristobal
",1,1,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,0,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
14,"les  cangures  contra  atacan!!!un  poco  de  humor  hasta  que  nos  vuelva  la  luz  a  todes@lesargentines#sinluz#apocalipsis#apagonuruguay#cortedeenergia    
",0,1,0,1,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
15,"valera  estado  trujillo  ya  cuenta  con  servicio  electrico    #sinluz  falta  el  agua    el  gas    la  gasolina    la  seguridad  la  salud    educacion    transporte    pero  por  algo  se  empieza      
",1,1,1,1,0,1,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,0,1,1,0,0,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
16,"increible  que  #23dic  y  la  dictadura  ni  una  palabra  para  explicar  que  #venezuela  esta  #singasolina  y  los  racionamientos  electricos  son  mas  extenso    navidad  feliz    sin  duda  que  no  
",1,0,1,1,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
17,"#19marla  tarde  de  este  jueves  se  registro  un  apagon  que  afecta  zonas  de  los  estados  #miranda    #vargas    #aragua  y  #caracas  #sinluz
",1,1,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1,0,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
18,"atencion  @corpoeleczulia_  desde  hace  mas  de  1  semana  estan  #sinluz  28  familias  de  la  calle  83a  del  barrio  puerto  rico  4    detras  de  papelerias  ramirez  (maracaibo)    atencion  @omarprietogob  @willy_casanova  @fbritomaestre  @drodriguezven  #16ene  #impulsarlapatriaproductiva
",1,1,0,0,1,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
19,"#28dic  #singasolina    #ciudadguayana  deberian  ver  las  colas  aqui  haciendo  una  desde  las  6  de  la  tarde  el  viernes  27  para  equipar  el  lunes  30  ya  hay  aproximadamente  300  carros  y  sigu    
",1,0,1,1,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
20,"#22nov  #guayana  alta  vista    los  olivos    castillito    villa  colombia    villa  asia    villa  alianza    villa  brasil  #sinluz
",1,1,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,1,1,0,0,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
21,"#hipismoaqui  esta  nuestra  informacion  gratis  para  esta  semana!!para  los  hipodromos  venezolanos  #larinconada#valencia#losvamosasacar#sinluz    
",0,1,0,1,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
22,"#sinluz  esta  usted  y  su  falla  debe  ser  neurologica  ahora  apoya  a  cfk      pregunta  como  anda  su  pyme  de  35  asesores        
",0,1,0,1,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
23,"@corpoeleczulia_  @corpoelecinfo  avenida  16  con  calle  84    #sinluz  desde  las  2pm  y  previamente  de  2am  a  8am  
",1,1,0,0,1,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
24,"colinas  de  bello  monte  #sinluz  12  25  pm
",1,1,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
25,"otro  apagon    otro  dia  mas  con  el  socialismo  de  mierda  y  chavistas  vivos  #sinluz
",0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
26,"pzo  #singasolinamcb  #singasolina  cbv  #singasolina  ptl  #singasolina#ccs  #congasolina    que  cosas  no
",1,0,1,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,1,1,1,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
27,"esto  fue  el  dia  de  las  elecciones    todo  ha  estado  meticulosamente  calculado  #jcerenunciaya  #apagon  #fuerapld  #    
",0,1,0,1,0,0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,1,1,0,1,1,Multi kNN,<class 'skmultilearn.adapt.mlknn.MLkNN'>
