,Text,Link de la noticia
,,
,,
,,https://twitter.com/LizGascon/status/1123790822921654274
,,https://unionradio.net/educadores-de-margarita-ocupan-canchas-y-patios-para-dar-clases-por-falta-de-luz/
,,https://twitter.com/Tanetanae/status/1124069556526489601
,,https://elpitazo.net/los-llanos/el-gas-domestico-en-acarigua-araure-cuesta-entre-10-y-20-dolares/
,,https://twitter.com/HIDROCAPITALca/status/1124398644843700226
,,https://twitter.com/mramirezcabello/status/1124273148030017536
,,https://twitter.com/real_victoriana/status/1124132595434971136
,,http://www.correodelorinoco.gob.ve/entregan-tanques-para-agua-potable-a-familias-de-merida/
,,https://elpitazo.net/occidente/trabajadores-de-ambulatorio-en-ciudad-ojeda-duermen-en-colchonetas-por-cortes-de-luz/
,,https://elpitazo.net/oriente/por-falta-de-gas-trancaron-este-4may-la-avenida-gran-mariscal-de-cumana/
,,https://twitter.com/LizGascon/status/1125228989164007425
,,https://twitter.com/MariaLDeSousa/status/1125201519773720576
,,http://cronica.uno/incendio-en-basurero-de-mariche-pone-al-descubierto-mal-manejo-de-los-desechos/
,,http://efectococuyo.com/principales/en-las-regiones-aun-sufren-por-los-cortes-electricos-a-dos-meses-del-primer-megaapagon/
,,https://elpitazo.net/gran-caracas/hidrocapital-solo-puede-surtir-de-agua-a-35-de-la-poblacion-caraquena/
,,http://notipascua.com/la-comunidad-reclama-servicio-social/
,,https://www.elperiodicodemonagas.com.ve/site/monagas/cerros-de-basura-diarios-en-la-redoma-los-cortijos/
,,http://www.eluniversal.com/caracas/39383/reportan-averias-en-varias-zonas-de-caracas
,,http://www.eluniversal.com/caracas/39383/reportan-averias-en-varias-zonas-de-caracas
,,http://cronica.uno/150-familias-del-barrio-independencia-de-maracay-tienen-mas-de-4-dias-sin-luz/
,,https://www.noticias24.com/venezuela/noticia/354903/suspenderan-el-servicio-de-agua-potable-en-puerto-ordaz-a-partir-de-este-miercoles-detalles/
,,https://diariodelosandes.com/site/comunidad-de-la-floresta-y-otros-sectores-protestaron-por-agua/
,,https://tanetanae.com/reclaman-gas-gratis-en-23-de-febrero-tras-anuncio-de-gobernadora-lizeta-hernandez/
,,https://www.panorama.com.ve/ciudad/Se-registra-falla-electrica-en-varias-zonas-de-Maracaibo-la-tarde-de-este-miercoles-20190515-0134.html
,,https://primicia.com.ve/guayana/ciudad/movistar-presenta-fallas-desde-hace-dias/
,,https://elpitazo.net/occidente/vecinos-de-el-cruce-protestaron-luego-de-tres-dias-sin-electricidad/
,,https://twitter.com/dannacarola17/status/1129419306549350401
,,https://diariodelosandes.com/site/vecinos-protestan-por-falta-de-gas-en-barrio-el-milagro/
,,https://laverdaddemonagas.com/explotan-bombonas-de-gas-en-camion-despachador-en-aragua/
,,https://ipysvenezuela.org/2019/05/17/conexion-incierta-informe-anual-derechos-digitales-ipysve-2018/
,,https://elpitazo.net/los-andes/200-mil-litros-de-leche-se-pierden-diariamente-en-tachira-por-falta-de-luz-y-gasolina/
,,https://elpitazo.net/oriente/protesta-margarita-gas-agua-luz/
,,https://elpitazo.net/cronicas/la-fallas-electricas-han-disminuido-la-cantidad-de-carne-que-consume-el-venezolano/
